Station,RA,DEC,Start_Epoch,Exposure(hr),FoV(deg),Center Frequency(GHz),Bandwidth(GHz),Mean(¦ÌJy),RMS(¦ÌJy),UL_95%(¦ÌJy),UL_95%(Jy/sr)
ALMA,05:02:27.8784,+07:27:32.699,2022-09-15T11:27:16.512,1.06,0.004,808.3884,1.759,25.000 ,373.800 ,757.633 ,197922.110 
ALMA,07:13:33.1254,-44:38:20.979,2024-07-28T13:01:44.736,0.19,0.003,809.0344,1.561,51.700 ,530.600 ,1091.655 ,506988.599 
ALMA,23:03:16.0584,+08:52:19.367,2024-09-08T03:41:35.664,0.26,0.004,809.2663,1.617,252.300 ,1308.000 ,2815.928 ,735625.708 
ALMA,05:02:27.8784,+07:27:32.699,2022-09-15T11:27:16.512,1.06,0.004,809.308,1.865,26.640 ,268.500 ,552.889 ,144435.369 
ALMA,07:13:33.1254,-44:38:20.979,2024-07-28T13:01:44.736,0.19,0.003,810.9246,1.845,52.730 ,383.400 ,804.179 ,373478.341 
ALMA,23:03:16.0584,+08:52:19.367,2024-09-08T03:41:35.664,0.26,0.004,811.1442,1.711,341.400 ,1162.000 ,2618.874 ,684147.786 
ALMA,23:03:16.0584,+08:52:19.367,2024-09-08T03:41:35.664,0.26,0.004,812.7584,1.711,362.000 ,1390.000 ,3086.344 ,806268.677 
ALMA,23:03:16.0584,+08:52:19.367,2024-09-08T03:41:35.664,0.26,0.004,814.5308,1.813,208.600 ,1929.000 ,3989.363 ,1042170.893 
ALMA,13:22:18.0274,+09:23:23.870,2022-04-18T03:21:57.088,1.19,0.003,815.814,1.735,67.370 ,622.800 ,1288.033 ,598191.027 
ALMA,13:22:18.0274,+09:23:23.870,2022-04-18T03:21:57.088,1.19,0.003,815.8802,1.75,-55.950 ,686.600 ,1289.759 ,598992.363 
ALMA,10:51:37.6732,-21:15:06.355,2018-11-23T11:00:45.312,0.13,0.003,816.129,1.862,-5.282 ,395.600 ,770.078 ,357641.321 
ALMA,02:17:22.0448,-02:08:59.402,2022-10-28T05:26:40.848,2.2,0.004,817.2532,1.813,14.670 ,220.200 ,446.253 ,116578.037 
ALMA,13:22:18.0274,+09:23:23.870,2022-04-18T03:21:57.088,1.19,0.003,817.8096,1.735,86.900 ,619.700 ,1301.487 ,604439.419 
ALMA,13:22:18.0274,+09:23:23.870,2022-04-18T03:21:57.088,1.19,0.003,817.8801,1.719,2.972 ,628.200 ,1234.219 ,573198.516 
ALMA,10:51:37.6732,-21:15:06.355,2018-11-23T11:00:45.312,0.13,0.003,817.9385,1.606,37.210 ,400.400 ,821.978 ,381744.738 
ALMA,02:17:22.0448,-02:08:59.402,2022-10-28T05:26:40.848,2.2,0.004,819.1606,1.258,-0.445 ,225.100 ,440.742 ,115138.306 
ALMA,05:02:27.8784,+07:27:32.699,2022-09-15T11:27:16.512,1.06,0.004,820.0993,1.863,30.620 ,293.700 ,606.260 ,158377.870 
ALMA,10:51:37.6732,-21:15:06.355,2018-11-23T11:00:45.312,0.13,0.003,820.2093,1.867,-1.318 ,532.200 ,1041.773 ,483822.267 
ALMA,02:17:22.0448,-02:08:59.402,2022-10-28T05:26:40.848,2.2,0.004,820.476,1.602,-19.420 ,413.700 ,791.415 ,206747.338 
ALMA,05:02:27.8784,+07:27:32.699,2022-09-15T11:27:16.512,1.06,0.004,820.9752,1.858,31.590 ,315.500 ,649.957 ,169793.195 
ALMA,07:13:33.1254,-44:38:20.979,2024-07-28T13:01:44.736,0.19,0.003,821.6343,1.85,14.700 ,319.300 ,640.515 ,297469.425 
ALMA,10:51:37.6732,-21:15:06.355,2018-11-23T11:00:45.312,0.13,0.003,822.0862,1.861,34.550 ,454.200 ,924.764 ,429480.757 
ALMA,02:17:22.0448,-02:08:59.402,2022-10-28T05:26:40.848,2.2,0.004,822.7571,1.461,-19.990 ,249.400 ,468.824 ,122474.383 
ALMA,05:02:27.8784,+07:27:32.699,2022-09-15T11:27:16.512,1.06,0.004,822.9785,1.841,14.170 ,350.400 ,700.940 ,183111.760 
ALMA,05:02:27.8784,+07:27:32.699,2022-09-15T11:27:16.512,1.06,0.004,823.1367,1.832,53.740 ,353.200 ,745.998 ,194882.566 
ALMA,07:13:33.1254,-44:38:20.979,2024-07-28T13:01:44.736,0.19,0.003,823.4992,1.827,57.650 ,437.400 ,914.937 ,424916.729 
ALMA,07:13:33.1254,-44:38:20.979,2024-07-28T13:01:44.736,0.19,0.003,825.3877,1.862,55.290 ,325.300 ,692.865 ,321781.810 
ALMA,07:13:33.1254,-44:38:20.979,2024-07-28T13:01:44.736,0.19,0.003,827.2636,1.858,-27.050 ,287.100 ,535.655 ,248769.793 
ALMA,22:46:07.9399,-05:26:40.758,2018-05-23T10:55:27.232,0.49,0.003,828.003,1.383,102.800 ,635.600 ,1348.551 ,626296.685 
ALMA,22:46:07.9399,-05:26:40.758,2018-05-23T10:55:27.232,0.49,0.003,829.5891,1.868,132.900 ,613.200 ,1334.747 ,619886.219 
ALMA,22:46:07.9399,-05:26:40.758,2018-05-23T10:55:27.232,0.49,0.003,831.3925,1.82,32.420 ,948.900 ,1892.226 ,878791.586 
ALMA,05:35:14.8970,-05:22:36.320,2016-10-20T10:20:33.552,0.92,0.003,840.5031,1.85,1791.000 ,820.900 ,3399.931 ,1579003.158 
ALMA,22:46:07.9399,-05:26:40.758,2018-05-23T10:55:27.232,0.49,0.003,844.2825,1.82,67.490 ,568.600 ,1181.923 ,548911.276 
ALMA,22:46:07.9399,-05:26:40.758,2018-05-23T10:55:27.232,0.49,0.003,846.0907,1.773,64.970 ,655.000 ,1348.744 ,626386.423 
ALMA,22:46:07.9399,-05:26:40.758,2018-05-23T10:55:27.232,0.49,0.003,847.8296,1.743,108.000 ,597.200 ,1278.488 ,593758.129 
ALMA,22:46:07.9399,-05:26:40.758,2018-05-23T10:55:27.232,0.49,0.003,849.6988,1.82,64.390 ,620.300 ,1280.153 ,594531.427 
ALMA,11:01:52.2405,-34:42:23.122,2023-12-04T08:30:37.984,0.53,0.003,850.2258,1.766,-26.290 ,117.400 ,203.809 ,94653.544 
ALMA,11:01:52.2405,-34:42:23.122,2023-12-04T08:30:37.984,0.53,0.003,852.2257,1.766,-32.390 ,109.300 ,181.834 ,84447.555 
ALMA,05:52:27.0445,-42:44:26.077,2024-11-05T08:34:31.344,0.22,0.003,853.1029,1.664,-70.220 ,1342.000 ,2560.046 ,1188942.078 
ALMA,11:01:52.2405,-34:42:23.122,2023-12-04T08:30:37.984,0.53,0.003,854.1836,1.766,-24.420 ,103.400 ,178.240 ,82778.531 
ALMA,05:35:14.8970,-05:22:36.320,2016-10-20T10:20:33.552,0.92,0.003,854.4862,1.774,1348.000 ,474.900 ,2278.785 ,1058318.108 
ALMA,05:52:27.0445,-42:44:26.077,2024-11-05T08:34:31.344,0.22,0.003,855.0098,1.367,-116.100 ,2036.000 ,3874.379 ,1799347.013 
ALMA,11:01:52.2405,-34:42:23.122,2023-12-04T08:30:37.984,0.53,0.003,856.1836,1.766,-17.420 ,104.300 ,187.004 ,86848.710 
ALMA,05:52:27.0445,-42:44:26.077,2024-11-05T08:34:31.344,0.22,0.003,856.8738,1.547,160.700 ,2399.000 ,4862.644 ,2258319.338 
ALMA,05:52:27.0445,-42:44:26.077,2024-11-05T08:34:31.344,0.22,0.003,858.6869,1.844,428.200 ,2431.000 ,5192.863 ,2411680.209 
ALMA,05:35:14.8970,-05:22:36.320,2016-10-20T10:20:33.552,0.92,0.003,860.4602,1.845,1014.000 ,636.800 ,2262.103 ,1050570.398 
ALMA,11:01:52.2405,-34:42:23.122,2023-12-04T08:30:37.984,0.53,0.003,866.2251,1.766,-17.200 ,102.600 ,183.892 ,85403.460 
ALMA,11:01:52.2405,-34:42:23.122,2023-12-04T08:30:37.984,0.53,0.003,868.225,1.766,-12.380 ,107.500 ,198.316 ,92102.193 
ALMA,05:52:27.0445,-42:44:26.077,2024-11-05T08:34:31.344,0.22,0.003,869.0061,1.36,-241.400 ,1317.000 ,2339.867 ,1086686.086 
ALMA,01:55:48.6019,-62:51:00.032,2024-10-25T05:37:44.256,0.3,0.003,869.152,1.61,-41.640 ,1284.000 ,2474.949 ,1149420.836 
ALMA,11:01:52.2405,-34:42:23.122,2023-12-04T08:30:37.984,0.53,0.003,870.1829,1.766,-5.860 ,126.500 ,242.075 ,112424.951 
ALMA,01:55:48.6019,-62:51:00.032,2024-10-25T05:37:44.256,0.3,0.003,870.9376,1.555,-120.100 ,1830.000 ,3466.627 ,1609978.085 
ALMA,05:52:27.0445,-42:44:26.077,2024-11-05T08:34:31.344,0.22,0.003,871.3935,0.8986,31.360 ,1820.000 ,3598.487 ,1671216.969 
ALMA,11:01:52.2405,-34:42:23.122,2023-12-04T08:30:37.984,0.53,0.003,872.1829,1.766,-3.865 ,104.500 ,200.951 ,93326.001 
ALMA,05:52:27.0445,-42:44:26.077,2024-11-05T08:34:31.344,0.22,0.003,872.984,1.828,130.600 ,1537.000 ,3143.059 ,1459705.827 
ALMA,01:55:48.6019,-62:51:00.032,2024-10-25T05:37:44.256,0.3,0.003,873.153,1.36,-166.000 ,1069.000 ,1929.197 ,895961.826 
ALMA,01:55:48.6019,-62:51:00.032,2024-10-25T05:37:44.256,0.3,0.003,874.8838,1.524,-88.080 ,1359.000 ,2575.506 ,1196121.728 
ALMA,05:52:27.0445,-42:44:26.077,2024-11-05T08:34:31.344,0.22,0.003,874.9612,1.297,175.800 ,1683.000 ,3474.413 ,1613594.020 
ALMA,23:11:24.6061,-54:50:35.694,2024-10-12T03:09:54.576,0.31,0.003,877.7012,1.555,96.570 ,1197.000 ,2442.642 ,1134416.974 
ALMA,23:11:24.6061,-54:50:35.694,2024-10-12T03:09:54.576,0.31,0.003,879.334,1.164,-106.000 ,1526.000 ,2884.899 ,1339810.823 
ALMA,23:11:24.6061,-54:50:35.694,2024-10-12T03:09:54.576,0.31,0.003,881.1856,1.367,-94.430 ,1392.000 ,2633.834 ,1223210.856 
ALMA,01:07:47.2053,-17:30:31.821,2024-09-07T04:48:44.976,0.2,0.003,881.9207,1.656,-161.200 ,635.500 ,1084.355 ,503598.227 
ALMA,23:11:24.6061,-54:50:35.694,2024-10-12T03:09:54.576,0.31,0.003,883.3263,1.727,16.010 ,1310.000 ,2583.558 ,1199861.236 
ALMA,01:07:47.2053,-17:30:31.821,2024-09-07T04:48:44.976,0.2,0.003,883.835,1.227,-16.860 ,709.600 ,1373.928 ,638082.344 
ALMA,01:55:48.6019,-62:51:00.032,2024-10-25T05:37:44.256,0.3,0.003,885.3644,1.813,-58.180 ,1122.000 ,2140.895 ,994279.000 
ALMA,01:07:47.2053,-17:30:31.821,2024-09-07T04:48:44.976,0.2,0.003,885.3888,1.703,-52.380 ,706.800 ,1332.920 ,619037.374 
ALMA,23:03:15.9809,+08:52:20.516,2024-04-19T12:53:32.976,0.44,0.003,885.6359,1.734,140.900 ,1093.000 ,2283.136 ,1060338.937 
ALMA,01:07:47.2053,-17:30:31.821,2024-09-07T04:48:44.976,0.2,0.003,887.1043,1.625,-71.000 ,592.200 ,1089.688 ,506075.330 
ALMA,01:55:48.6019,-62:51:00.032,2024-10-25T05:37:44.256,0.3,0.003,887.2163,1.766,-119.500 ,1759.000 ,3328.070 ,1545629.079 
